模块,用例ID,标题,前置条件,步骤,期望结果,优先级
远程开锁,RC-UNLOCK-001,归属设备远程开锁成功,APP已登录且设备在线,"APP点击开锁->确认","云端创建命令;设备执行开锁;命令结果回传;APP提示成功",P0
远程开锁,RC-UNLOCK-002,非归属设备远程开锁被拒绝,用A账号登录但device_id属于B账号,"调用 /api/control/unlock","返回404或无权控制;不产生命令",P0
远程开锁,RC-UNLOCK-003,设备离线命令保持待投递,设备下线,"APP下发开锁;设备上线后心跳","命令上线后被投递;状态闭环",P1
设备鉴权,AUTH-DEV-001,心跳签名校验通过,设备已注册并获取device_token,"设备发送带签名心跳","返回success;如有命令返回command",P0
设备鉴权,AUTH-DEV-002,心跳重放请求被拒绝,重复使用相同nonce,"重复发送同一请求","返回401;错误为设备请求重复",P0
访客上传,VIS-001,访客抓拍上传成功,设备在线,"上传访客记录(含base64图片)","云端落库;图片可通过/uploads访问;通知发布",P1
远程警报,RC-ALERT-001,远程警报触发,设备在线,"APP下发警报","设备触发声光/蜂鸣;命令结果回传",P1
远程对讲,RC-SPEAK-001,文本播报下发成功,设备在线,"APP发送文本","设备接收并播报/显示;命令结果回传",P1
远程抓拍,RC-SNAP-001,远程抓拍闭环,设备在线,"APP下发抓拍","设备抓拍并上传;APP可查看访客图片",P1
黑名单,BL-001,新增黑名单并设备可同步,APP已登录且设备在线,"APP上传黑名单照片+姓名;设备拉取黑名单列表","设备拉取到新增条目;本地库更新",P0
黑名单,BL-002,黑名单命中触发应急联动,设备具备黑名单库,"摄像头识别到黑名单","设备进入锁定态;声光报警;抓拍/录制;上报云端;云端生成报警",P0
黑名单,BL-003,断网时黑名单命中仍本地执行,设备断网,"命中黑名单","本地执行锁定/报警/存证;联网后补传",P1
